Club,Elo,date
Дынама Мiнск,1439,2019-04-28 16:59:29.875005
Alanyaspor,1437,2019-04-28 16:59:29.875005
Lok Zagreb,1436,2019-04-28 16:59:29.875005
St. Pauli,1436,2019-04-28 16:59:29.875005
Trencin,1434,2019-04-28 16:59:29.875005
Zulte Waregem,1433,2019-04-28 16:59:29.875005
Konyaspor,1432,2019-04-28 16:59:29.875005
Wigan,1430,2019-04-28 16:59:29.875005
Dresden,1429,2019-04-28 16:59:29.875005
Салігорск,1428,2019-04-28 16:59:29.875005
Córdoba,1427,2019-04-28 16:59:29.875005
Sandhausen,1427,2019-04-28 16:59:29.875005
באר שבע,1427,2019-04-28 16:59:29.875005
Zürich,1427,2019-04-28 16:59:29.875005
Lens,1427,2019-04-28 16:59:29.875005
Rizespor,1426,2019-04-28 16:59:29.875005
Marítimo,1426,2019-04-28 16:59:29.875005
Viitorul,1426,2019-04-28 16:59:29.875005
QPR,1425,2019-04-28 16:59:29.875005
Luzern,1425,2019-04-28 16:59:29.875005
Slovan Liberec,1425,2019-04-28 16:59:29.875005
Clermont,1424,2019-04-28 16:59:29.875005
Trnava,1424,2019-04-28 16:59:29.875005
Legia,1424,2019-04-28 16:59:29.875005
Boavista,1422,2019-04-28 16:59:29.875005
Παναθηναϊκός,1421,2019-04-28 16:59:29.875005
Malatyaspor,1419,2019-04-28 16:59:29.875005
Den Haag,1419,2019-04-28 16:59:29.875005
Aves,1419,2019-04-28 16:59:29.875005
Ingolstadt,1418,2019-04-28 16:59:29.875005
Antalyaspor,1418,2019-04-28 16:59:29.875005
Tarragona,1418,2019-04-28 16:59:29.875005
Mladá Boleslav,1418,2019-04-28 16:59:29.875005
Willem II,1417,2019-04-28 16:59:29.875005
Chaves,1417,2019-04-28 16:59:29.875005
Fürth,1416,2019-04-28 16:59:29.875005
Heracles,1416,2019-04-28 16:59:29.875005
Nordsjælland,1416,2019-04-28 16:59:29.875005
Santa Clara,1415,2019-04-28 16:59:29.875005
Crotone,1415,2019-04-28 16:59:29.875005
Cittadella,1414,2019-04-28 16:59:29.875005
Kasımpaşa,1412,2019-04-28 16:59:29.875005
Verona,1410,2019-04-28 16:59:29.875005
Sigma Olomouc,1408,2019-04-28 16:59:29.875005
Odense,1408,2019-04-28 16:59:29.875005
Admira,1407,2019-04-28 16:59:29.875005
Hammarby,1406,2019-04-28 16:59:29.875005
Setúbal,1406,2019-04-28 16:59:29.875005
Sarpsborg,1405,2019-04-28 16:59:29.875005
Kayseri,1405,2019-04-28 16:59:29.875005
Portimonense,1405,2019-04-28 16:59:29.875005
Aberdeen,1405,2019-04-28 16:59:29.875005
Sivasspor,1405,2019-04-28 16:59:29.875005
Orleans,1405,2019-04-28 16:59:29.875005
Dinamo București,1404,2019-04-28 16:59:29.875005
Tondela,1404,2019-04-28 16:59:29.875005
St Pölten,1403,2019-04-28 16:59:29.875005
Іллічівець,1403,2019-04-28 16:59:29.875005
Zlatibor,1402,2019-04-28 16:59:29.875005
Aarhus,1400,2019-04-28 16:59:29.875005
Aue,1400,2019-04-28 16:59:29.875005
Heerenveen,1399,2019-04-28 16:59:29.875005
Spezia,1398,2019-04-28 16:59:29.875005
Astra,1397,2019-04-28 16:59:29.875005
Левски,1397,2019-04-28 16:59:29.875005
Cremonese,1396,2019-04-28 16:59:29.875005
Oostende,1392,2019-04-28 16:59:29.875005
Десна,1391,2019-04-28 16:59:29.875005
Pescara,1390,2019-04-28 16:59:29.875005
Piast Gliwice,1390,2019-04-28 16:59:29.875005
Енисей,1389,2019-04-28 16:59:29.875005
Perugia,1389,2019-04-28 16:59:29.875005
Анжи,1385,2019-04-28 16:59:29.875005
Ворскла,1383,2019-04-28 16:59:29.875005
Rotherham,1383,2019-04-28 16:59:29.875005
Niš,1383,2019-04-28 16:59:29.875005
Hibernian,1381,2019-04-28 16:59:29.875005
Lechia,1381,2019-04-28 16:59:29.875005
Brann,1379,2019-04-28 16:59:29.875005
Карпати,1378,2019-04-28 16:59:29.875005
Bursaspor,1378,2019-04-28 16:59:29.875005
Magdeburg,1378,2019-04-28 16:59:29.875005
Ankaragücü,1377,2019-04-28 16:59:29.875005
Aalborg,1377,2019-04-28 16:59:29.875005
Haugesund,1377,2019-04-28 16:59:29.875005
Dunajska,1376,2019-04-28 16:59:29.875005
Cosenza,1375,2019-04-28 16:59:29.875005
Jagiellonia,1375,2019-04-28 16:59:29.875005
St.Gallen,1374,2019-04-28 16:59:29.875005
Xamax,1374,2019-04-28 16:59:29.875005
Zwolle,1373,2019-04-28 16:59:29.875005
Foggia,1372,2019-04-28 16:59:29.875005
Львів,1372,2019-04-28 16:59:29.875005
Grenoble,1371,2019-04-28 16:59:29.875005
Kilmarnock,1370,2019-04-28 16:59:29.875005
Mouscron,1370,2019-04-28 16:59:29.875005
Banik Ostrava,1369,2019-04-28 16:59:29.875005
Randers,1369,2019-04-28 16:59:29.875005
Göztepe,1368,2019-04-28 16:59:29.875005
Duisburg,1367,2019-04-28 16:59:29.875005
St Gillis,1367,2019-04-28 16:59:29.875005
Venezia,1367,2019-04-28 16:59:29.875005
Châteauroux,1366,2019-04-28 16:59:29.875005
Άρης,1365,2019-04-28 16:59:29.875005
Дынама Брэст,1365,2019-04-28 16:59:29.875005
Ipswich,1364,2019-04-28 16:59:29.875005
Hartberg,1363,2019-04-28 16:59:29.875005
Akhisar,1362,2019-04-28 16:59:29.875005
Esbjerg,1361,2019-04-28 16:59:29.875005
Auxerre,1361,2019-04-28 16:59:29.875005
Valenciennes,1361,2019-04-28 16:59:29.875005
Nancy,1360,2019-04-28 16:59:29.875005
Erzurum BB,1359,2019-04-28 16:59:29.875005
Slovan Bratislava,1359,2019-04-28 16:59:29.875005
Bohemians Praha,1358,2019-04-28 16:59:29.875005
Ajaccio,1357,2019-04-28 16:59:29.875005
Ξάνθη,1356,2019-04-28 16:59:29.875005
Odd Grenland,1356,2019-04-28 16:59:29.875005
Ascoli,1355,2019-04-28 16:59:29.875005
Nacional,1354,2019-04-28 16:59:29.875005
Domzale,1353,2019-04-28 16:59:29.875005
Sundsvall,1353,2019-04-28 16:59:29.875005
Αστέρας,1352,2019-04-28 16:59:29.875005
Beveren,1352,2019-04-28 16:59:29.875005
Salernitana,1352,2019-04-28 16:59:29.875005
Πανιώνιος,1352,2019-04-28 16:59:29.875005
Venlo,1352,2019-04-28 16:59:29.875005
Teplice,1350,2019-04-28 16:59:29.875005
Qəbələ,1350,2019-04-28 16:59:29.875005
Zagłębie,1348,2019-04-28 16:59:29.875005
Тарпеда Жодзіна,1348,2019-04-28 16:59:29.875005
Lech,1347,2019-04-28 16:59:29.875005
Elfsborg,1345,2019-04-28 16:59:29.875005
Ботев Пловдив,1345,2019-04-28 16:59:29.875005
Gaz Metan,1344,2019-04-28 16:59:29.875005
בני יהודה,1342,2019-04-28 16:59:29.875005
Cercle Brugge,1341,2019-04-28 16:59:29.875005
Grasshoppers,1341,2019-04-28 16:59:29.875005
Олімпік Донецьк,1341,2019-04-28 16:59:29.875005
Slovácko,1340,2019-04-28 16:59:29.875005
Cracovia,1338,2019-04-28 16:59:29.875005
HNK Gorica,1336,2019-04-28 16:59:29.875005
Vålerenga,1336,2019-04-28 16:59:29.875005
Қайрат,1334,2019-04-28 16:59:29.875005
Sheriff,1333,2019-04-28 16:59:29.875005
Niort,1333,2019-04-28 16:59:29.875005
Wisła,1333,2019-04-28 16:59:29.875005
Strømsgodset,1332,2019-04-28 16:59:29.875005
Wacker Innsbruck,1331,2019-04-28 16:59:29.875005
Újpest,1330,2019-04-28 16:59:29.875005
Westerlo,1328,2019-04-28 16:59:29.875005
Eupen,1327,2019-04-28 16:59:29.875005
Livorno,1326,2019-04-28 16:59:29.875005
Shkendija,1326,2019-04-28 16:59:29.875005
Gazélec,1326,2019-04-28 16:59:29.875005
Tescoma Zlin,1324,2019-04-28 16:59:29.875005
SønderjyskE,1323,2019-04-28 16:59:29.875005
Pogoń,1322,2019-04-28 16:59:29.875005
De Graafschap,1321,2019-04-28 16:59:29.875005
Emmen,1321,2019-04-28 16:59:29.875005
Göteborg,1321,2019-04-28 16:59:29.875005
Kalmar,1321,2019-04-28 16:59:29.875005
Παναιτωλικός,1320,2019-04-28 16:59:29.875005
Kristiansund,1319,2019-04-28 16:59:29.875005
Vaduz,1319,2019-04-28 16:59:29.875005
Берое Стара Загора,1319,2019-04-28 16:59:29.875005
Beziers,1318,2019-04-28 16:59:29.875005
Padova,1317,2019-04-28 16:59:29.875005
Slaven Belupo,1313,2019-04-28 16:59:29.875005
Botosani,1313,2019-04-28 16:59:29.875005
Sittard,1313,2019-04-28 16:59:29.875005
Sochaux,1312,2019-04-28 16:59:29.875005
Opava,1312,2019-04-28 16:59:29.875005
Feirense,1311,2019-04-28 16:59:29.875005
Bolton,1310,2019-04-28 16:59:29.875005
Excelsior,1310,2019-04-28 16:59:29.875005
Rudar Velenje,1310,2019-04-28 16:59:29.875005
Віцебск,1309,2019-04-28 16:59:29.875005
Beerschot AC,1309,2019-04-28 16:59:29.875005
"בית""ר",1308,2019-04-28 16:59:29.875005
Sepsi,1307,2019-04-28 16:59:29.875005
Karvina,1306,2019-04-28 16:59:29.875005
Λαμία,1305,2019-04-28 16:59:29.875005
Iasi,1303,2019-04-28 16:59:29.875005
Γιάννινα,1303,2019-04-28 16:59:29.875005
נתניה,1302,2019-04-28 16:59:29.875005
Olimpija Ljubljana,1302,2019-04-28 16:59:29.875005
Red Star,1300,2019-04-28 16:59:29.875005
Арсенал Київ,1300,2019-04-28 16:59:29.875005
IK Sirius,1299,2019-04-28 16:59:29.875005
Plock,1298,2019-04-28 16:59:29.875005
ΟΦΗ,1297,2019-04-28 16:59:29.875005
Viking,1296,2019-04-28 16:59:29.875005
Örebro,1296,2019-04-28 16:59:29.875005
מכבי חיפה,1295,2019-04-28 16:59:29.875005
Bodø/Glimt,1295,2019-04-28 16:59:29.875005
Hearts,1294,2019-04-28 16:59:29.875005
Debrecen,1294,2019-04-28 16:59:29.875005
Carpi,1293,2019-04-28 16:59:29.875005
Lillestrøm,1293,2019-04-28 16:59:29.875005
Черно море,1292,2019-04-28 16:59:29.875005
Тобыл,1291,2019-04-28 16:59:29.875005
הפועל חיפה,1290,2019-04-28 16:59:29.875005
Stabæk,1290,2019-04-28 16:59:29.875005
Voluntari,1288,2019-04-28 16:59:29.875005
Vejle,1288,2019-04-28 16:59:29.875005
Чорноморець,1287,2019-04-28 16:59:29.875005
Breda,1287,2019-04-28 16:59:29.875005
Horsens,1286,2019-04-28 16:59:29.875005
Górnik,1286,2019-04-28 16:59:29.875005
Vendsyssel,1284,2019-04-28 16:59:29.875005
Hobro,1284,2019-04-28 16:59:29.875005
Korona,1283,2019-04-28 16:59:29.875005
Neftçi,1282,2019-04-28 16:59:29.875005
